id;street_number;street;zipcode;city_id
1;relationships;Considine Heights;Market bypass;79776
2;Alaska Chips;Kuhic Greens;Springs;78030
3;Avon copy;Hagenes Motorway;COM Administrator port;13382
4;Concrete;Russel Junction;asynchronous Associate;22418
5;maroon collaborative;Jackie Canyon;Concrete Buckinghamshire;74361
6;Shoes;Yasmeen Walk;Steel Connecticut cross-media;36727
7;applications grow;Heaney Mountain;Riel methodologies;74240
8;Expressway Supervisor;Durward Ferry;distributed;14129
9;transmit;Bessie Freeway;Market Nevada navigate;96220
10;hacking;Kihn Vista;port Adaptive Squares;74215
