id;distance;journey_duration;actual_departure_time;planned_departure_time;actual_arrival_time;planned_arrival_time;ticket_price;number_of_stops;time_of_stops;minutes_late;journey_status_id;train_id;company_id;departure_railway_station_id;arival_railway_station_id
1;51662;90308;2023-05-12T14:20:02;2023-05-12T12:28:00;2023-05-12T20:11:54;2023-05-12T22:24:42;9617;90217;92050;90498;82343;81774;66644;42542;35238
2;70955;97509;2023-05-12T18:04:09;2023-05-13T04:10:39;2023-05-13T01:34:32;2023-05-12T16:40:23;60741;70643;30942;78677;95477;40082;10670;15335;94499
3;55728;9537;2023-05-12T13:24:59;2023-05-13T08:58:39;2023-05-12T22:36:59;2023-05-13T02:18:55;40881;61555;2906;79416;73179;20712;7588;39046;5564
4;16578;57355;2023-05-13T06:17:52;2023-05-13T03:15:27;2023-05-13T10:07:18;2023-05-12T17:36:11;1805;2851;73787;10340;26660;1718;5973;15232;57332
5;29650;48136;2023-05-12T16:57:46;2023-05-12T15:15:36;2023-05-12T14:56:52;2023-05-13T07:08:28;74663;97945;74574;5111;60096;29115;77682;87773;90600
6;79281;6189;2023-05-12T22:17:06;2023-05-12T12:00:24;2023-05-13T03:45:45;2023-05-12T12:20:47;7421;49854;20975;62991;40168;67192;64374;32117;83410
7;2584;11808;2023-05-13T02:13:29;2023-05-13T06:11:19;2023-05-12T21:50:19;2023-05-13T02:53:13;14909;81895;14462;50622;77319;60436;88507;79746;48094
8;71381;13481;2023-05-13T04:41:10;2023-05-12T23:04:46;2023-05-12T23:48:09;2023-05-12T15:57:04;15603;29047;38883;53371;11557;52579;2397;17402;55275
9;33733;62874;2023-05-12T12:03:22;2023-05-12T13:44:18;2023-05-12T22:26:13;2023-05-13T00:23:46;63174;17418;53322;5697;58292;90075;38193;86065;46658
10;40405;99975;2023-05-12T23:33:08;2023-05-12T18:24:11;2023-05-12T15:15:12;2023-05-13T00:27:30;11565;2807;75082;53632;68457;66029;5062;72678;16695
