id;final_price;quantity;jhi_time;app_user_id;journey_id
1;22175;91687;2023-05-12T23:38:26;99427;40111
2;79319;90152;2023-05-13T05:43:28;36346;58285
3;85930;5440;2023-05-13T02:05:44;71955;90478
4;76700;11547;2023-05-13T02:34:36;55763;65512
5;82924;57036;2023-05-13T03:05:34;75553;24690
6;34191;46610;2023-05-13T07:59:44;75948;42422
7;19686;69621;2023-05-13T06:09:41;69402;54282
8;68897;38485;2023-05-13T07:31:22;26903;62172
9;21351;65767;2023-05-12T19:39:49;45331;36146
10;51931;81177;2023-05-12T12:39:57;26640;74321
